part,queued_stl_path,queued_stl_sha256,sliced_output_path,sliced_output_sha256,selected_setup_summary,result,notes
lid_manifold_shell_y02_of_02,/Users/noot/Documents/aevum/outputs/cad/first_print_y_split_slicer_queue/aevum_one_row_coupon_lid_manifold_shell_y02_of_02.stl,0a87b1ad26a443d730c9226fa79d43b8269afdf1dc3da82a4128bca710f56645,outputs/sliced/first_print_y_split/aevum_one_row_coupon_lid_manifold_shell_y02_of_02.gcode,8f2a7fa9f2dcc9c76c2e4bce5fb6ed38ce3b47c46e85ed248f9f0df25daf6ee5,PrusaSlicer / Original Prusa MK4 Input Shaper 0.4 nozzle / Generic PETG @PGIS / 0.20mm STRUCTURAL @MK4IS 0.4,pass,sliced with PrusaSlicer
lid_harness_cover_y01_of_02,/Users/noot/Documents/aevum/outputs/cad/first_print_y_split_slicer_queue/aevum_one_row_coupon_lid_harness_cover_y01_of_02.stl,bd69f051e840ef0eb1a5c36c213d847618a77254dc1b228498a28cb7076ab415,outputs/sliced/first_print_y_split/aevum_one_row_coupon_lid_harness_cover_y01_of_02.gcode,429a96968a9dba8a899396d54259bd1e4d45996030be9d6282c1a76083390235,PrusaSlicer / Original Prusa MK4 Input Shaper 0.4 nozzle / Generic PETG @PGIS / 0.20mm STRUCTURAL @MK4IS 0.4,pass,sliced with PrusaSlicer
lid_harness_cover_y02_of_02,/Users/noot/Documents/aevum/outputs/cad/first_print_y_split_slicer_queue/aevum_one_row_coupon_lid_harness_cover_y02_of_02.stl,8b3b50266c26491e171b59bd011e7bf8f478e6e9fb9cbfb045232d5511d591c0,outputs/sliced/first_print_y_split/aevum_one_row_coupon_lid_harness_cover_y02_of_02.gcode,94b30a6da055f1fd52849a1fa29564555c66e08c3f7deb6ea81b41a51ff2d098,PrusaSlicer / Original Prusa MK4 Input Shaper 0.4 nozzle / Generic PETG @PGIS / 0.20mm STRUCTURAL @MK4IS 0.4,pass,sliced with PrusaSlicer
printed_lid_sensor_connector_shrouds,/Users/noot/Documents/aevum/outputs/cad/first_print_y_split_slicer_queue/aevum_one_row_coupon_printed_lid_sensor_connector_shrouds.stl,c8961d658bf8b01249cf54075c06dac2eb25713b13fcd169d528152d5a3845e7,outputs/sliced/first_print_y_split/aevum_one_row_coupon_printed_lid_sensor_connector_shrouds.gcode,841d60a9fcf7e0087fee1639d6bc919333a74e14c0a9cf223c946681a041f5c2,PrusaSlicer / Original Prusa MK4 Input Shaper 0.4 nozzle / Generic PETG @PGIS / 0.20mm STRUCTURAL @MK4IS 0.4,pass,sliced with PrusaSlicer
lid_cover_y01_of_02,/Users/noot/Documents/aevum/outputs/cad/first_print_y_split_slicer_queue/aevum_one_row_coupon_lid_cover_y01_of_02.stl,011aea076ebff73d9a7f0223e1c720fe793c045f420d4a12ba72b0a0feb353b4,outputs/sliced/first_print_y_split/aevum_one_row_coupon_lid_cover_y01_of_02.gcode,5ccdacbcd083bcbe149312d258a39bf461d57be1bab1d458375cab47c20b6194,PrusaSlicer / Original Prusa MK4 Input Shaper 0.4 nozzle / Generic PETG @PGIS / 0.20mm STRUCTURAL @MK4IS 0.4,pass,sliced with PrusaSlicer
lid_cover_y02_of_02,/Users/noot/Documents/aevum/outputs/cad/first_print_y_split_slicer_queue/aevum_one_row_coupon_lid_cover_y02_of_02.stl,96f37daf507bf485b14845b6483585577c8442653bd52ad738f3b100ba6d3900,outputs/sliced/first_print_y_split/aevum_one_row_coupon_lid_cover_y02_of_02.gcode,6be711fb1614f6edbed76abcb24d68a2178d86f049d2713a0813ea06e24cda3b,PrusaSlicer / Original Prusa MK4 Input Shaper 0.4 nozzle / Generic PETG @PGIS / 0.20mm STRUCTURAL @MK4IS 0.4,pass,sliced with PrusaSlicer
printed_gas_pcb_keeper_doors_y01_of_02,/Users/noot/Documents/aevum/outputs/cad/first_print_y_split_slicer_queue/aevum_one_row_coupon_printed_gas_pcb_keeper_doors_y01_of_02.stl,d03d365e2d7516029dded4eee8b801082f595ff3a58c70a0435e9ff2e9b5f63a,outputs/sliced/first_print_y_split/aevum_one_row_coupon_printed_gas_pcb_keeper_doors_y01_of_02.gcode,dce7896f4c502580948085279921e9023f94f807c18fdb361da2640c5f1c57e4,PrusaSlicer / Original Prusa MK4 Input Shaper 0.4 nozzle / Generic PETG @PGIS / 0.20mm STRUCTURAL @MK4IS 0.4,pass,sliced with PrusaSlicer
printed_gas_pcb_keeper_doors_y02_of_02,/Users/noot/Documents/aevum/outputs/cad/first_print_y_split_slicer_queue/aevum_one_row_coupon_printed_gas_pcb_keeper_doors_y02_of_02.stl,134400f39366b62c5e0f31cf8e7df7b3c16040bf824e96fa1f2a3276592a335c,outputs/sliced/first_print_y_split/aevum_one_row_coupon_printed_gas_pcb_keeper_doors_y02_of_02.gcode,427508fef6adbb495aaaf8bfaba6b9ee2ae5909be5f92f2f412528ac5261399b,PrusaSlicer / Original Prusa MK4 Input Shaper 0.4 nozzle / Generic PETG @PGIS / 0.20mm STRUCTURAL @MK4IS 0.4,pass,sliced with PrusaSlicer
printed_sample_relief_cap,/Users/noot/Documents/aevum/outputs/cad/first_print_y_split_slicer_queue/aevum_one_row_coupon_printed_sample_relief_cap.stl,995959a23fb73c187c6909cacad136a6ae98d86e315afb6aaf5bd2c0868164a9,outputs/sliced/first_print_y_split/aevum_one_row_coupon_printed_sample_relief_cap.gcode,3622855e26e471853e4466b8ac501da34b24a6a2b3680bb965d1ed72a2a2b05e,PrusaSlicer / Original Prusa MK4 Input Shaper 0.4 nozzle / Generic PETG @PGIS / 0.20mm STRUCTURAL @MK4IS 0.4,pass,sliced with PrusaSlicer
printed_wedge_locks_y01_of_02,/Users/noot/Documents/aevum/outputs/cad/first_print_y_split_slicer_queue/aevum_one_row_coupon_printed_wedge_locks_y01_of_02.stl,3fbae497606032ae3f1b9bee3da41b6d2b080208dd6586ccde243bcf809a10f6,outputs/sliced/first_print_y_split/aevum_one_row_coupon_printed_wedge_locks_y01_of_02.gcode,a7fb9981834bef3347ab2dc2193bf0ab0782afc81fac076afdaed48edfc99f59,PrusaSlicer / Original Prusa MK4 Input Shaper 0.4 nozzle / Generic PETG @PGIS / 0.20mm STRUCTURAL @MK4IS 0.4,pass,sliced with PrusaSlicer
printed_wedge_locks_y02_of_02,/Users/noot/Documents/aevum/outputs/cad/first_print_y_split_slicer_queue/aevum_one_row_coupon_printed_wedge_locks_y02_of_02.stl,3d3fd6b0c2d747768657de3601fa7787926ffea70424a8b9bc2124f8e1c04c98,outputs/sliced/first_print_y_split/aevum_one_row_coupon_printed_wedge_locks_y02_of_02.gcode,e9d0579ba7de4631cc31abfc621222cad97be167f7b20791b8d8c6d164cf927e,PrusaSlicer / Original Prusa MK4 Input Shaper 0.4 nozzle / Generic PETG @PGIS / 0.20mm STRUCTURAL @MK4IS 0.4,pass,sliced with PrusaSlicer
