slicer_name,executable_path,version,printer_profile,material_profile,print_profile,profile_source,selected,result,notes
PrusaSlicer,/Applications/Original Prusa Drivers/PrusaSlicer.app/Contents/MacOS/PrusaSlicer,PrusaSlicer-2.9.4 based on Slic3r (with GUI support),Original Prusa MK4 Input Shaper 0.4 nozzle,Generic PETG @PGIS,0.20mm STRUCTURAL @MK4IS 0.4,/Users/noot/Library/Application Support/PrusaSlicer/PrusaSlicer.ini,yes,pass,active presets discovered from PrusaSlicer.ini
BambuStudio,/Applications/BambuStudio.app/Contents/MacOS/BambuStudio,BambuStudio-02.06.00.51,,,,/Users/noot/Library/Application Support/BambuStudio/BambuStudio.conf,no,not_tested,"CLI discovered; select machine, process, and filament JSONs"
